data,data2,gyro
489,-0.14516129,104
420,-0.590322581,112
566,0.351612903,107
554,0.274193548,103
492,-0.125806452,111
384,-0.822580645,-125
568,0.364516129,-111
491,-0.132258065,-109
383,-0.829032258,-119
621,0.706451613,127
547,0.229032258,-116
460,-0.332258065,-98
532,0.132258065,-84
603,0.590322581,-78
486,-0.164516129,-65
482,-0.190322581,-42
547,0.229032258,-13
521,0.061290323,63
490,-0.138709677,80
509,-0.016129032,88
536,0.158064516,90
525,0.087096774,96
500,-0.074193548,105
499,-0.080645161,116
506,-0.035483871,-128
521,0.061290323,-117
517,0.035483871,-104
458,-0.34516129,-95
489,-0.14516129,-85
456,-0.358064516,-78
518,0.041935484,-71
488,-0.151612903,-66
521,0.061290323,-64
522,0.067741935,-66
518,0.041935484,-69
533,0.138709677,-71
492,-0.125806452,-73
539,0.177419355,-73
530,0.119354839,-72
571,0.383870968,-71
505,-0.041935484,-72
479,-0.209677419,-73
510,-0.009677419,-75
513,0.009677419,-78
500,-0.074193548,-80
509,-0.016129032,-82
515,0.022580645,-83
508,-0.022580645,-85
527,0.1,-88
509,-0.016129032,-92
498,-0.087096774,-100
513,0.009677419,-105
511,-0.003225806,-109
518,0.041935484,-113
536,0.158064516,-117
517,0.035483871,-120
503,-0.05483871,-122
497,-0.093548387,-123
524,0.080645161,-124
500,-0.074193548,-125
507,-0.029032258,-125
518,0.041935484,-125
521,0.061290323,-125
500,-0.074193548,-126
504,-0.048387097,127
521,0.061290323,125
525,0.087096774,122
509,-0.016129032,120
517,0.035483871,117
524,0.080645161,114
525,0.087096774,110
508,-0.022580645,107
532,0.132258065,104
522,0.067741935,101
508,-0.022580645,97
509,-0.016129032,95
497,-0.093548387,92
506,-0.035483871,88
509,-0.016129032,85
552,0.261290323,81
539,0.177419355,77
512,0.003225806,71
513,0.009677419,63
535,0.151612903,60
508,-0.022580645,1
466,-0.293548387,-7
525,0.087096774,-16
492,-0.125806452,-26
546,0.222580645,-37
485,-0.170967742,-51
513,0.009677419,-62
496,-0.1,-70
552,0.261290323,-85
540,0.183870968,-111
469,-0.274193548,119
484,-0.177419355,100
535,0.151612903,95
503,-0.05483871,98
499,-0.080645161,91
544,0.209677419,72
421,-0.583870968,78
529,0.112903226,89
456,-0.358064516,92
620,0.7,82
493,-0.119354839,76
592,0.519354839,76
514,0.016129032,79
613,0.65483871,83
488,-0.151612903,79
434,-0.5,68
530,0.119354839,67
363,-0.958064516,70
496,-0.1,72
564,0.338709677,71
490,-0.138709677,65
587,0.487096774,89
466,-0.293548387,115
580,0.441935484,-128
498,-0.087096774,-118
479,-0.209677419,-107
467,-0.287096774,-94
482,-0.190322581,-91
480,-0.203225806,-101
540,0.183870968,-103
527,0.1,-90
505,-0.041935484,-72
581,0.448387097,-65
523,0.074193548,-62
456,-0.358064516,-64
491,-0.132258065,-64
531,0.125806452,-50
595,0.538709677,-37
496,-0.1,-29
540,0.183870968,-26
543,0.203225806,-23
548,0.235483871,-13
523,0.074193548,1
502,-0.061290323,69
504,-0.048387097,85
541,0.190322581,103
546,0.222580645,111
511,-0.003225806,119
513,0.009677419,126
503,-0.05483871,-124
499,-0.080645161,-119
507,-0.029032258,-114
518,0.041935484,-109
519,0.048387097,-96
520,0.05483871,-88
507,-0.029032258,-81
491,-0.132258065,-76
487,-0.158064516,-73
520,0.05483871,-71
517,0.035483871,-72
518,0.041935484,-73
499,-0.080645161,-73
474,-0.241935484,-73
435,-0.493548387,-72
469,-0.274193548,-73
